Rayan Cherki
Antoine Semenyo
Matheus Cunha
Jérémy Doku
Gabriel
Phil Foden
Nico O'Reilly
Marc Guéhi
Jurriën Timber
Eberechi Eze
Luka Vuskovic
Kai Havertz
Piero Hincapié
Mohammed Kudus
Micky van de Ven
Matheus Nunes
Leny Yoro
Abdukodir Khusanov
Myles Lewis-Skelly
Trevoh Chalobah
Senny Mayulu
Nico González
Ilya Zabarnyi
Cristhian Mosquera
Andrey Santos
Patrick Dorgu
Lucas Bergvall
Jakub Kiwior
Curtis Jones
Archie Gray
Conor Gallagher
Rio Ngumoha
Pape Matar Sarr
Matvey Safonov
Jamie Gittens
Ibrahim Mbaye
Fabián Ruiz
Djed Spence
Brennan Johnson
Ayden Heaven
Wesley Fofana
Rico Lewis
Oscar Bobb
Kang-in Lee
Richarlison
Mikel Merino
Mason Mount
Josh Acheampong
James Trafford
Giovanni Leoni
Conor Bradley
Roméo Lavia
Mathys Tel
Mamadou Sarr
Lucas Beraldo
Tyrique George
Rodrigo Bentancur
Kevin Danso
Joshua Zirkzee
Harvey Elliott
Wilson Odobert
Mykhaylo Mudryk
Lucas Hernández
Leandro Trossard
Guglielmo Vicario
Gabriel Jesus
Tosin Adarabioyo
Radu Drăgușin
João Palhinha
Filip Jørgensen
Dário Essugo
Benoît Badiashile
Ben Gannon-Doak
Antonín Kinský
Sverre Nypan
Joe Gomez
Federico Chiesa
Souza
Nathan Aké
Marc Guiu
John Stones
Facundo Buonanotte
Yves Bissouma
Mateo Kovacic
Trey Nyoni
Quentin Ndjantou
Max Alleyne
Luke Shaw
Harry Maguire
Caleb Wiley
Ashley Phillips
Casemiro
Kota Takai
Kepa Arrizabalaga
Christian Nørgaard
Altay Bayındır
Wataru Endo
Tyrell Malacia
Stefan Ortega
Stefan Bajcetic
Tyler Fredricson
Gabriel Slonina
Freddie Woodman
Ben Davies
Kalvin Phillips
İlkay Gündoğan
James McConnell
Calvin Ramsay
Kaide Gordon
Yann Bisseck
Felix Nmecha
Pio Esposito
Jarell Quansah
Ibrahim Maza
Strahinja Pavlović
Scott McTominay
Maximilian Beier
Marcus Rashford
Karim Adeyemi
Jobe Bellingham
Christian Kofane
Gerard Martín
Ange-Yoan Bonny
Pierre Kalulu
Yan Diomande
Morgan Rogers
Weston McKennie
Malik Tillman
Alessandro Buongiorno
Alisson Santos
Loïs Openda
Julian Ryerson
Carlos Romero
Ardon Jashari
Youssouf Fofana
Lloyd Kelly
Koni De Winter
Carlos Augusto
Álex Jiménez
Sam Beukema
Nico González
Miguel Gutiérrez
Luis Henrique
Fábio Silva
Davide Frattesi
Davide Bartesaghi
Daniel Svensson
Nico Paz
Vanja Milinković-Savić
Thiago Pitarch
Min-jae Kim
Loïc Badé
Lorenzo Lucca
Equi Fernández
Eliesse Ben Seghir
Carney Chukwuemeka
Billy Gilmour
Alexis Saelemaekers
Aleix García
Waldemar Anton
Samuel Chukwueze
Matteo Gabbia
Elliot Anderson
Zachary Athekame
Samuele Inácio
Omar El Hilali
Nathan Tella
Montrell Culbreath
Mathías Olivera
Julian Brandt
Frank Anguissa
Fabio Miretti
Antonio Vergara
Yunus Musah
Rodrigo De Paul
Federico Gatti
Eljif Elmas
Urko González de Zárate
Jeanuël Belocian
Giovane
Junior Kroupi
Tyrhys Dolan
Sacha Boey
Roberto Fernández
Piotr Zielinski
Luca Reggiani
Josep Martínez
Emil Holm
Edon Zhegrova
Dro Fernández
Aarón Anselmino
Ruben Loftus-Cheek
Vasilije Adžić
Martin Terrier
Jérémie Boga
João Mário
Axel Tape
Arthur
Alexandro Bernabei
Javi Puado
César Palacios
Ramy Bensebaini
Luca Marianucci
Juan Cabal
Dani Ceballos
Telasco Segovia
Romelu Lukaku
Robert Andrich
Pol Lozano
Mark Flekken
Marcel Sabitzer
Luca Koleosho
Johan Carbonero
Bruno Gomes
Igor Thiago
Vitinho
Victor Gabriel
Matteo Politano
Manuel Ángel
Kayky
Edu Expósito
Alessandro Zanoli
Tadeo Allende
Niklas Süle
Micael
Iñaki Peña
Giovanni Reyna
Daniel Carvajal
Clemens Riedel
Sergio Reguilón
Salih Özcan
Rodrigo Villagra
Leonardo Spinazzola
Dayne St. Clair
Stefan de Vrij
Ramón Terrats
Matheus Bahia
Jofre Carreras
Henrikh Mkhitaryan
Fran González
Emre Can
David Jiménez
David Alaba
